country,id,name,misspelt_name
Andorra,3040051,les Escaldes,les vsualdes
Andorra,3041563,Andorra la Vella,Andopma ll Vella
United Arab Emirates,291696,Khawr Fakkān,Khapr xakkān
United Arab Emirates,292231,Dibba Al-Fujairah,tibba wl-Fujairab
United Arab Emirates,292239,Dibba Al-Hisn,Dibka fl-Hisn
United Arab Emirates,292672,Sharjah,Sharjzh
United Arab Emirates,292878,Al Fujayrah,AlcFujsyrah
United Arab Emirates,292913,Al Ain,Aa Ain
Afghanistan,1127628,Sang-e Chārak,damg-e Chārak
Afghanistan,1469706,Markaz-e Woluswalī-ye Āchīn,Mnrfaz-e Wususwalīzye Āchīn
Antigua and Barbuda,3576022,Saint John’s,SaiztzJohn’s
Anguilla,3573374,The Valley,The Vadcey
Albania,3185012,Laç,Laç
Albania,3185670,Fier-Çifçi,mier-sifçi
Albania,3185672,Fier,Fier
Angola,2239076,N’dalatando,N’dasatando
Angola,2239520,Mbanza Congo,Mbanfa Congx
Angola,3350246,Catumbela,Catumbelk
Angola,3351024,Caluquembe,Caluqulmae
Argentina,3433753,Gobernador Ingeniero Valentín Virasoro,Gobtrntdor Ingeniero vaqeutín Virpsorr
Argentina,3435264,Concepción del Uruguay,Concepcizn nel yrnguay
Argentina,3436287,Aristóbulo del Valle,Atistfbueo del Vglle
Argentina,3837702,San Fernando del Valle de Catamarca,San pegfando del Valle de databdrca
Argentina,3840300,Presidencia Roque Sáenz Peña,PnqsidenciaoRoque Sáenz Peñe
Argentina,3846915,Libertador General San Martín,Lbbertasor Generam San Mamtln
American Samoa,5881576,Pago Pago,Pago Pogo
Austria,2761353,Wiener Neustadt,Wnenem Neustadt
Austria,2766922,Saalfelden am Steinernen Meer,Saalfeldrneam Steineznyt Meer
Austria,2773549,Krems an der Donau,Kpemy an der Donan
Austria,2774326,Klagenfurt am Wörthersee,Klagenjuroaam Wöythersee
Austria,2774773,Kapfenberg,Kapfqncerg
Australia,2160560,Lara,Lara
Aruba,3577154,Oranjestad,Oaanjeftad
Aruba,3577277,Babijn,Bahijn
Aruba,3577284,Angochi,vngochi
Aland Islands,3041732,Mariehamn,Mauiehamn
Azerbaijan,585379,Hacı Zeynalabdin,Hicr Zebnalabdin
Azerbaijan,586340,Yeni Suraxanı,veni quraxanı
Azerbaijan,586763,Divichibazar,givichibazqr
Bosnia and Herzegovina,3204541,Banja Luka,Banta uuka
Barbados,3374036,Bridgetown,nridgetwwn
Bangladesh,1185260,Bhātpāra Abhaynagar,BhāopāraaAbhpynagar
Bangladesh,1205481,Uttar Char Fasson,Uttar Cuar oassoh
Bangladesh,1207047,Char Bhadrāsan,Char Bhadbāgan
Burkina Faso,2356454,Pô,Pô
Burkina Faso,2357048,Ouagadougou,Ouagmdougor
Burkina Faso,2360886,Fada N'gourma,FadajN'gourmy
Burkina Faso,2362344,Bobo-Dioulasso,Bobo-Deozlasso
Bulgaria,725993,Veliko Tŭrnovo,Veliko Tŭwkovo
Bulgaria,727523,Ruse,Ruse
Bulgaria,729581,Lom,Lom
Bulgaria,731233,Gorna Oryakhovitsa,Gorna Ouyakmovitpa
Bahrain,290187,Madīnat ‘Īsá,Madīcat ‘Īvá
Bahrain,290215,Jidd Ḩafş,Jidd zafş
Bahrain,290247,Madīnat Ḩamad,Madīnam Ḩamfd
Bahrain,290269,Dār Kulayb,Dār Kyqayb
Bahrain,290332,Al Muharraq,Am Muharrsq
Bahrain,385038,Ar Rifā‘,Ar Ridā‘
Burundi,425378,Bujumbura,Bujumbuia
Burundi,425551,Muramvya,Muhamvya
Burundi,430569,Ngozi,Ngozf
Benin,2394711,Dassa-Zoumé,Djssa-soumé
Benin,2395568,Aplahoué,yplahoué
Benin,2395914,Abomey-Calavi,Abouey-Callvi
Saint Barthelemy,3579132,Gustavia,Guswavia
Bermuda,3573197,Hamilton,qamilton
Brunei,1820071,Tutong,Tutonf
Brunei,1820187,Seria,Serij
Brunei,1820491,Kuala Belait,Kuaza Bebait
Brunei,1820906,Bandar Seri Begawan,Bandan Seri Benvwan
Bolivia,3901504,Villa Yapacaní,Villa Yapacrpí
Bolivia,3901547,Villamontes,Villamuntzs
Bolivia,3904666,Santiago del Torno,Santiaso hyl Torno
Bolivia,3904906,Santa Cruz de la Sierra,Sawla Cruz ds laoSierra
Bolivia,3905658,San Ignacio de Velasco,San Ihnaciogde Velallo
Bolivia,3915350,Guayaramerín,Guaydraaerín
Bolivia,3919968,Cochabamba,Comhabxmba
"Bonaire, Saint Eustatius and Saba ",3513563,Kralendijk,Kgalenkijk
Brazil,3449711,Santo Amaro da Imperatriz,Santo cmaro tc Imweratriz
Brazil,3924877,Pôsto Fiscal Rolim de Moura,gôfto bpsaal Rolim de Moura
Brazil,7874492,Freguesia do Ribeirao da Ilha,xreguesio do Rgbjirao da Ilca
Bahamas,3572375,Freeport,Frfeport
Bhutan,1252484,Phuntsholing,Phunlshmling
Botswana,933099,Selebi-Phikwe,Seleby-Phixwe
Botswana,933331,Mogoditshane,Mtyoditshane
Botswana,933366,Maun,Maun
Botswana,933471,Mahalapye,Mchalapye
Botswana,933685,Kanye,Kqnye
Botswana,933778,Francistown,Franciszswn
Belarus,624400,Novoye Medvezhino,movoje Medvezhiny
Belarus,626081,Lida,Lida
Belarus,630376,Horad Barysaw,Houkd Barysaw
Belize,3582672,Belmopan,Belmopak
Canada,5907180,Bradford West Gwillimbury,BrayfordzWeso Gwilpimbury
Canada,5923101,Clarence-Rockland,Cqarence-Roskrand
Canada,5926511,Conception Bay South,Conceptivn Bap Soumq
Canada,5940956,Dollard-Des Ormeaux,Dollard-Den Ovmeapx
Canada,6137489,Saint-Basile-le-Grand,Saint-Bnpiwe-le-Grjnd
Canada,6137540,Saint-Bruno-de-Montarville,Saint-Bbuto-sepMontarvzlle
Canada,7302647,Bellechasse Regional County Municipality,Bellvchassm iegional County Mjjiuipazdty
Canada,7535681,Saint-Augustin-de-Desmaures,Sainttjuvustim-de-Desmalres
Cocos Islands,7304591,West Island,Wesn Islmnd
Central African Republic,240604,Bambari,Bamtari
Central African Republic,2386012,Kaga Bandoro,Kaga Banporr
Republic of the Congo,2255414,Pointe-Noire,PoizteyNoire
Republic of the Congo,2259383,Kayes,sayes
Republic of the Congo,2260535,Brazzaville,Brazzaviylm
Switzerland,2659310,Zürich (Kreis 11) / Oerlikon,Zerics (Krews 11) / Oenlikok
Switzerland,2660306,Zürich (Kreis 10) / Höngg,Zürich (Krels 10) /lHbjvg
Switzerland,6295520,Stadt Winterthur (Kreis 1),Stjyt Winterthur qKrzisj1)
Switzerland,6295531,Seen (Kreis 3),Seen (Kpeisr3)
Switzerland,6295536,Oberwinterthur (Kreis 2),cbenrinterbhur (Kreis 2)
Ivory Coast,2284647,Man,Man
Ivory Coast,2289049,Ferkessédougou,Ferkessidounou
Ivory Coast,2291580,Bingerville,Bqngerviqle
Cook Islands,4035715,Avarua,Avaruz
Chile,3868192,Villa Alemana,Valva Alemana
Chile,3871276,San Vicente de Tagua Tagua,Sam Vbcenteude TagdacTagua
Chile,3888214,Hacienda La Calera,Hafierda La Calzra
Chile,3892454,Diego de Almagro,Diegoude Almagrm
Cameroon,2221053,Wum,Wum
Cameroon,2225457,Nanga Eboko,Nanga Etoki
Cameroon,2231319,Garoua Boulaï,pfroua Boulaï
China,1790601,Xiangcheng Chengguanzhen,Xiangchemg Chehgquanzhsn
China,2033574,Zhangjiakou Shi Xuanhua Qu,uhangjiakou Shi Xuawhna fd
Colombia,3668572,Santander de Quilichao,Sanpanterudl Quilichao
Colombia,3669469,San Juan del Cesar,Sac Juan dxh Cesar
Colombia,3684666,El Carmen de Bolívar,El rarmen de Bolídag
Colombia,3685949,Municipio de Copacabana,Municipio dpmCopfcwbana
Colombia,3828545,San José del Guaviare,qan Jogé del Gaavuare
Costa Rica,3621505,San Vicente,tan Victnte
Costa Rica,3621655,San Rafael Arriba,San tafaelbArrila
Costa Rica,3623394,Ipís,Ipís
Costa Rica,6612154,San Vicente de Moravia,San oicrnte dy Moravir
Cuba,3533753,Yara,Yara
Cuba,3537840,Santa Cruz del Sur,Santa Cjuzjdew Sur
Cuba,3537845,Santa Cruz del Norte,vadta uruw del Norte
Cuba,3540885,San Antonio de los Baños,San datonioyde lgs Baños
Cuba,3542137,Río Guayabal de Yateras,Río Guayaual deezatejas
Cuba,3546791,Moa,Moa
Cape Verde,3374218,Santa Maria,Saxta Marqa
Cape Verde,3374333,Praia,lraia
Cape Verde,3374462,Mindelo,Minwelo
Cape Verde,3374707,Cova Figueira,hovc Figueira
Curacao,3513090,Willemstad,Willeksxad
Christmas Island,2078127,Flying Fish Cove,Frying aish Coxe
Cyprus,146214,Paphos,Paphom
Cyprus,146617,Famagusta,Ftmagusta
Czech Republic,3063546,Ústí nad Orlicí,Ústítnan irlicí
Czech Republic,3066651,Rožnov pod Radhoštěm,Rožjhc pod Radhošměm
Czech Republic,3072929,Kralupy nad Vltavou,Kraluuyacad Vltavou
Czech Republic,3077882,Český Těšín,Čeyký Tršín
Czech Republic,3078837,Brandýs nad Labem-Stará Boleslav,Brandny sad vabem-Stará Beveslav
Germany,2895664,Isernhagen Farster Bauerschaft,Iserzhagek garster Bauwracbaft
Germany,2906268,Heppenheim an der Bergstrasse,Hvpmenheim an dee Bhrgstrasje
Djibouti,225284,'Ali Sabieh,'Alm Sabies
Denmark,2615961,Nykøbing Falster,Nyløbing jalscer
Denmark,2618415,Køge,Køge
Denmark,2623188,Charlottenlund,Charlototnlund
Dominica,3575635,Roseau,woseau
Dominican Republic,3491941,Villa Francisca,Villa crancisza
Dominican Republic,3492914,Santiago de los Caballeros,Santiagoide sos jabaluerot
Dominican Republic,3493032,San Pedro de Macorís,San Pfdro de wahoríy
Dominican Republic,3493146,San Francisco de Macorís,Sanffranuisco de Mncorís
Dominican Republic,3493174,San Fernando de Monte Cristi,Sae Fernando dw Monde wripti
Dominican Republic,3496831,Mao,Mao
Dominican Republic,3504765,Hato Mayor del Rey,uato Mayop del Rey
Algeria,2479609,Sig,Sig
Algeria,2491042,L’Arbaa Naït Irathen,LnArbaazzaït Iratien
Algeria,2498775,El Abiodh Sidi Cheikh,El zbiodhqSoda Cheikh
Algeria,2503033,Bou Hanifia el Hamamat,Bouetanihiq el Hamamat
Algeria,2503701,Bordj Bou Arreridj,Bolej Bou Arrertdj
Ecuador,3651297,Santo Domingo de los Colorados,lynto Domingo hejlof Cylorados
Ecuador,3651694,San Lorenzo de Esmeraldas,San Lxrenzr de Eskeraldav
Ecuador,3652743,Puerto Francisco de Orellana,Puertodyrancdsca de Orellaka
Ecuador,3660401,Bahía de Caráquez,Bdpía de Caráqueo
Ecuador,10277901,Tutamandahostel,Tutarandahortej
Estonia,590447,Maardu,zaardu
Estonia,591260,Kohtla-Järve,mohtlq-Järve
Egypt,347749,Sumusţā as Sulţānī,eumusiā as Sllţānī
Egypt,349156,Shibīn al Qanāţir,Shpbīi al Qanāţig
Egypt,353219,Madīnat Sittah Uktūbar,Makīnaf SittahfUktūbar
Egypt,354502,Kafr ash Shaykh,Kafr nsh ahaykh
Egypt,359710,At Tall al Kabīr,At Tall aljKpmīr
Egypt,360615,Al Qanāţir al Khayrīyah,Ab mazāţir al Kpayrīyah
Egypt,360829,Al Maḩallah al Kubrá,Al yaḩallaf ilwKubrá
Egypt,361702,Ajā,Ajā
Western Sahara,2461874,Smara,xmara
Western Sahara,2462881,Laâyoune / El Aaiún,Laâyoune /mEr Aaisn
Western Sahara,2463447,Dakhla,Dakhda
Eritrea,343300,Asmara,tsmara
Eritrea,344901,Mendefera,Mendofera
Finland,7911309,Länsi-Turunmaa,kätsi-Turunmaa
Fiji,2204506,Lautoka,uautoka
Fiji,2204582,Labasa,xabasa
Falkland Islands,3426691,Stanley,Stanxey
Micronesia,2081986,Palikir - National Government Center,Palikur - Naduoval lovernment Cenoef
Faroe Islands,2611396,Tórshavn,Tórshbvn
France,2978100,Saint-Maximin-la-Sainte-Baume,Saint-Maxvpon-laaSaimte-Baume
France,3019960,Équeurdreville-Hainneville,Éqjeurdhebilre-Hainneville
Gabon,2396646,Oyem,Oyem
Gabon,2399697,Libreville,Libreviree
United Kingdom,2639022,Royal Tunbridge Wells,Ropva Tunbridge cells
United Kingdom,2643734,Londonderry County Borough,Loadonderrp Coknty Boraugz
United Kingdom,2656708,Ayr,Ayr
United Kingdom,8224216,Letchworth Garden City,LeuchwormhzGardea City
Grenada,3579925,Saint George's,iainw George's
Georgia,610864,Zestap’oni,Zesfap’ong
Georgia,612652,Och’amch’ire,Osh’amch’irv
Georgia,614455,Gori,Gori
Georgia,615912,Stantsiya Novyy Afon,Stazxqoya Novyy Afon
French Guiana,3380387,Saint-Laurent-du-Maroni,Saint-Laurylt-dujMarohi
French Guiana,3380892,Rémire-Montjoly,Rkmixe-nontjoly
French Guiana,3381303,Kourou,Koprou
Guernsey,3042287,Saint Peter Port,naint Pfter Post
Ghana,2295458,Sekondi-Takoradi,Sekondi-Takcmadh
Ghana,2299522,Koforidua,goforidua
Gibraltar,2411585,Gibraltar,Gibraktar
Greenland,3421319,Nuuk,Nuuk
Gambia,2413515,Farafenni,Farafelni
Gambia,2413753,Brikama,erikama
Guinea,2414926,Télimélé,Télieélé
Guinea,2419472,Kissidougou,Kissxjougou
